Error Rate(%),M=1,M=2,M=3,M=4,M=5,M=6,M=7,M=8,M=9,M=10
N=1,10.69 ,7.40 ,7.08 ,6.93 ,6.93 ,6.93 ,6.94 ,6.89 ,6.89 ,6.87 
N=2,7.93 ,6.80 ,6.73 ,6.50 ,6.51 ,6.51 ,6.55 ,6.45 ,6.41 ,6.44 
N=3,6.85 ,6.28 ,6.23 ,6.14 ,6.12 ,6.10 ,6.14 ,6.11 ,6.09 ,6.05 
N=4,6.34 ,5.94 ,5.96 ,5.86 ,5.85 ,5.90 ,5.91 ,5.84 ,5.79 ,5.81 
N=5,6.17 ,5.89 ,5.83 ,5.70 ,5.69 ,5.68 ,5.73 ,5.67 ,5.65 ,5.65 
N=6,6.04 ,5.77 ,5.74 ,5.63 ,5.64 ,5.62 ,5.65 ,5.57 ,5.56 ,5.55 
N=7,6.04 ,5.74 ,5.68 ,5.58 ,5.45 ,5.53 ,5.46 ,5.50 ,5.46 ,5.46 
N=8,5.92 ,5.65 ,5.59 ,5.50 ,5.48 ,5.50 ,5.51 ,5.48 ,5.44 ,5.36 
N=9,5.90 ,5.61 ,5.57 ,5.52 ,5.45 ,5.52 ,5.45 ,5.43 ,5.41 ,5.40 
N=10,5.85 ,5.60 ,5.54 ,5.44 ,5.43 ,5.44 ,5.42 ,5.43 ,5.40 ,5.30 
